,ts,ts,id,popularity_score,popularity_diff
,min,max,count,mean,
state,,,,,
Baden-Württemberg,2020-03-22 12:00:00,2020-03-29 19:00:00,3459,0.4904171641875435,-50.95828358124565
Bayern,2020-03-22 12:00:00,2020-03-29 19:00:00,4103,0.5352640847856219,-46.473591521437804
Berlin,2020-03-22 12:00:00,2020-03-29 19:00:00,729,0.45054618991913203,-54.94538100808679
Brandenburg,2020-03-22 12:00:00,2020-03-29 19:00:00,862,0.6884898170833723,-31.15101829166277
Bremen,2020-03-22 12:00:00,2020-03-29 19:00:00,172,0.3289289693807943,-67.10710306192057
Hamburg,2020-03-22 12:00:00,2020-03-29 19:00:00,1124,0.3324245672477578,-66.75754327522422
Hessen,2020-03-22 12:00:00,2020-03-29 19:00:00,1945,0.5953629782446881,-40.46370217553119
Mecklenburg-Vorpommern,2020-03-22 12:00:00,2020-03-29 19:00:00,767,0.5590564783833446,-44.09435216166554
Niedersachsen,2020-03-22 12:00:00,2020-03-29 19:00:00,2719,0.5463469114537873,-45.36530885462127
Nordrhein-Westfalen,2020-03-22 12:00:00,2020-03-29 19:00:00,9861,0.4301704218511568,-56.982957814884315
Rheinland-Pfalz,2020-03-22 12:00:00,2020-03-29 19:00:00,2089,0.5515197423969465,-44.848025760305354
Saarland,2020-03-27 15:00:00,2020-03-29 19:00:00,330,0.5217010701250461,-47.82989298749539
Sachsen,2020-03-22 12:00:00,2020-03-29 19:00:00,1082,0.5575282460633231,-44.24717539366769
Sachsen-Anhalt,2020-03-22 12:00:00,2020-03-29 19:00:00,963,0.5157922518416188,-48.42077481583812
Schleswig-Holstein,2020-03-22 12:00:00,2020-03-29 19:00:00,1040,0.5438509087386537,-45.61490912613463
Thüringen,2020-03-22 12:00:00,2020-03-29 19:00:00,1524,0.5741636438629096,-42.583635613709035
