,city,pedestrians_count_2019,pedestrians_count_2019,pedestrians_count_2019,pedestrians_count_2020,pedestrians_count_2020,pedestrians_count_2020,diff,diff
,count,mean,median,sum,mean,median,sum,abs,rel
city,,,,,,,,,
München,26,48345.57692307692,30933.0,1256985,6723.807692307692,4701.5,174819,-41621.76923076923,-86.09219680425781
Köln,39,44664.333333333336,40762.0,1741909,7456.51282051282,4980.0,290804,-37207.820512820515,-83.30544247719025
Hamburg,52,26552.80769230769,24388.0,1380746,4689.711538461538,3918.0,243865,-21863.096153846152,-82.3381708149073
Freiburg,13,11954.538461538461,10631.0,155409,2218.769230769231,1592.0,28844,-9735.76923076923,-81.43994234568139
Nürnberg,39,25757.28205128205,23795.0,1004534,4885.7692307692305,3534.0,190545,-20871.51282051282,-81.03150316465147
Stuttgart,26,55196.0,43125.5,1435096,10955.807692307691,8394.5,284851,-44240.19230769231,-80.15108396929544
Dortmund,13,42969.61538461538,38649.0,558605,8922.461538461539,5767.0,115992,-34047.153846153844,-79.23541679720016
Düsseldorf,52,30560.03846153846,27147.5,1589122,6354.442307692308,4765.5,330431,-24205.596153846152,-79.20669401090666
Saarbrücken,13,41650.07692307692,37399.0,541451,9340.0,6711.0,121420,-32310.076923076922,-77.57507142843951
Hannover,39,43181.94871794872,33389.0,1684096,9958.871794871795,8116.0,388396,-33223.07692307692,-76.93741924450862
Mainz,39,15861.97435897436,15049.0,618617,3660.128205128205,3085.0,142745,-12201.846153846154,-76.9251410808303
Münster,26,23515.076923076922,21951.5,611392,5509.692307692308,4514.5,143252,-18005.384615384613,-76.56953313095363
Berlin,13,14870.0,13387.0,193310,3570.769230769231,2989.0,46420,-11299.23076923077,-75.98675702239926
Darmstadt,26,14063.576923076924,13383.5,365653,3462.423076923077,2698.5,90023,-10601.153846153848,-75.38021019928732
Bonn,39,29423.0,28418.0,1147497,7312.102564102564,5666.0,285172,-22110.897435897437,-75.14834461440859
Leipzig,26,33378.07692307692,29910.5,867830,8457.192307692309,5600.0,219887,-24920.884615384613,-74.66243388682115
Wiesbaden,13,40288.153846153844,38335.0,523746,10302.0,7463.0,133926,-29986.153846153844,-74.42920805123094
Mannheim,13,20623.53846153846,18913.0,268106,5529.538461538462,4463.0,71884,-15094.0,-73.18821660089667
Karlsruhe,13,41636.230769230766,38868.0,541271,11459.23076923077,8744.0,148970,-30176.999999999996,-72.47774220307387
Frankfurt a.M.,26,18485.923076923078,13174.0,480634,5307.653846153846,3558.0,137999,-13178.269230769232,-71.28813192574808
Erfurt,13,16229.23076923077,15788.0,210980,5402.0,3999.0,70226,-10827.23076923077,-66.71438051000095
Augsburg,13,9083.307692307691,8300.0,118083,6735.307692307692,4801.0,87559,-2347.999999999999,-25.849614254380388
